x,y,z,s
-5.000000,-0.484800,-2.487685,6
-5.000000,0.093645,-1.634091,6
-3.300914,2.053806,-5.000000,6
-3.343778,1.012735,-5.000000,6
-2.492036,1.557785,-5.000000,6
-1.501115,5.000000,-4.173771,6
-2.019155,5.000000,-3.317480,6
-2.498681,5.000000,-4.166330,6
-2.000000,5.000000,-5.000000,6
-1.501115,5.000000,-4.173771,6
-2.498681,5.000000,-4.166330,6
-5.000000,2.465675,2.538759,6
-5.000000,3.148904,3.193083,6
-5.000000,2.020315,3.334996,6
-5.000000,5.000000,3.000000,6
-4.123203,5.000000,2.559679,6
-4.107260,5.000000,3.648760,6
1.573935,2.307945,5.000000,6
0.841905,1.671859,5.000000,6
0.490208,2.485712,5.000000,6
5.000000,3.344209,0.000685,6
5.000000,2.494566,-0.489934,6
5.000000,2.491851,0.492250,6
0.000000,5.000000,5.000000,6
-0.500605,4.174795,5.000000,6
-1.000000,5.000000,5.000000,6
0.000000,5.000000,5.000000,6
-1.000000,5.000000,5.000000,6
-0.500233,5.000000,4.176377,6
-5.000000,3.611909,4.144244,6
-5.000000,4.163152,3.402054,6
-5.000000,5.000000,4.000000,6
5.000000,2.477520,2.531970,6
5.000000,3.153544,3.190364,6
5.000000,3.283301,2.051392,6
5.000000,5.000000,1.000000,6
5.000000,4.174408,0.501270,6
5.000000,4.163636,1.510370,6
4.165880,2.495138,-5.000000,6
4.203925,3.361398,-5.000000,6
3.228079,3.116100,-5.000000,6
3.341555,5.000000,0.000910,6
2.493549,5.000000,-0.497915,6
3.325655,5.000000,-1.010970,6
4.164919,5.000000,-2.495127,6
3.312505,5.000000,-2.023062,6
3.225244,5.000000,-3.117553,6
2.493549,5.000000,-0.497915,6
2.324306,5.000000,-1.574012,6
3.325655,5.000000,-1.010970,6
5.000000,5.000000,-3.000000,6
5.000000,4.209976,-3.359657,6
5.000000,4.166346,-2.498680,6
5.000000,-3.228169,-3.114574,6
5.000000,-2.516856,-2.495198,6
5.000000,-2.061684,-3.294908,6
5.000000,3.317992,-2.018786,6
5.000000,2.515369,-2.495883,6
5.000000,2.302006,-1.569562,6
-5.000000,4.174645,-0.500542,6
-5.000000,3.341555,0.000910,6
-5.000000,3.325655,-1.010970,6
0.000414,-0.006838,-5.000000,6
0.499540,0.871579,-5.000000,6
-0.498793,0.871788,-5.000000,6
0.000837,-3.351588,-5.000000,6
0.500592,-4.176101,-5.000000,6
1.010164,-3.347315,-5.000000,6
-2.000000,5.000000,5.000000,6
-2.499807,4.165250,5.000000,6
-3.000000,5.000000,5.000000,6
-2.000000,5.000000,5.000000,6
-3.000000,5.000000,5.000000,6
-2.493889,5.000000,4.166907,6
2.309140,5.000000,1.588010,6
1.135961,5.000000,1.639129,6
1.685712,5.000000,0.881923,6
0.497581,2.500167,-5.000000,6
-0.000383,1.694244,-5.000000,6
0.861640,1.683865,-5.000000,6
1.573935,2.307945,5.000000,6
1.597542,1.000682,5.000000,6
0.841905,1.671859,5.000000,6
3.341555,5.000000,0.000910,6
2.490148,5.000000,0.502535,6
2.493549,5.000000,-0.497915,6
0.000758,5.000000,3.350939,6
-0.504825,5.000000,2.515705,6
0.525551,5.000000,2.514125,6
-1.011054,3.326836,5.000000,6
-0.514641,2.479860,5.000000,6
-1.585738,2.313242,5.000000,6
2.560776,-5.000000,-4.124001,6
2.061458,-5.000000,-3.295376,6
3.228824,-5.000000,-3.116051,6
2.560776,-5.000000,-4.124001,6
3.228824,-5.000000,-3.116051,6
3.649241,-5.000000,-4.111687,6
5.000000,-5.000000,-3.000000,6
5.000000,-4.166327,-2.493805,6
5.000000,-4.204687,-3.360515,6
5.000000,-3.318923,-2.017655,6
5.000000,-3.328230,-1.008896,6
5.000000,-2.325531,-1.569567,6
1.521425,-5.000000,-0.794178,6
0.445361,-5.000000,-0.784085,6
0.946333,-5.000000,0.005404,6
2.526305,-5.000000,4.157519,6
3.613185,-5.000000,4.143032,6
3.153544,-5.000000,3.190364,6
2.489159,1.561882,5.000000,6
3.295657,2.059113,5.000000,6
3.342260,1.014532,5.000000,6
1.597542,1.000682,5.000000,6
0.962766,0.034503,5.000000,6
0.442281,0.823558,5.000000,6
5.000000,3.153544,3.190364,6
5.000000,3.613185,4.143032,6
5.000000,4.162106,3.403106,6
1.501177,4.172839,5.000000,6
2.000000,5.000000,5.000000,6
2.498993,4.165192,5.000000,6
4.163891,-2.500265,5.000000,6
3.226375,-3.117997,5.000000,6
3.311834,-2.023781,5.000000,6
5.000000,2.027631,3.327651,6
5.000000,1.010070,3.346906,6
5.000000,1.503298,4.173765,6
2.309140,5.000000,1.588010,6
1.685712,5.000000,0.881923,6
2.490148,5.000000,0.502535,6
4.175196,0.501433,5.000000,6
3.342260,1.014532,5.000000,6
4.163490,1.514075,5.000000,6
5.000000,-0.497660,2.496024,6
5.000000,-1.011233,3.325465,6
5.000000,0.000495,3.346551,6
